question_id,question,gold_answer,ner_tag,level_A,n_correct_A,level_B,n_correct_B,agreement
bb_1566,"What is the originally north African dish made of coursely ground wheat whose Arabic name, kaskasa, means 'to pound'?",Couscous,PRODUCT,strong-knows,3,strong-knows,3,True
bb_1567,"At what fret are found the same notes as the open strings, but an octave higher, on a standard guitar?",12th,ORDINAL,strong-knows,3,strong-knows,3,True
bb_1626,Which author created the character Moll Flanders?,Daniel Defoe,PERSON,strong-knows,3,strong-knows,3,True
bb_1742,The International Bureau of Weights and Measures is based in which European country?,France,GPE,strong-knows,3,strong-knows,3,True
bb_1768,"What is the common name of the cooking ingredient from the hard fat of kidneys and loins of oxen, famously sold under the Atora brand?",Suet,PRODUCT,strong-knows,3,strong-knows,3,True
bb_196,"A sequence of numbers beginning 0, 1, in which each number is the sum of the previous two numbers is named after what Italian mathematician who devised the system?",Fibonacci,PERSON,strong-knows,3,strong-knows,3,True
bb_2014,Alan Greenspan is a former chairman of what organization?,The US Federal Reserve,ORG,strong-knows,3,strong-knows,3,True
bb_2174,Indian corporation Tata bought what famous UK-twin-branded motor company from Ford in 2008?,Jaguar Land Rover,ORG,strong-knows,3,strong-knows,3,True
bb_2266,What is the darkly common name for the plague which killed 30-50% of Europe between 1347-52?,Black Death,EVENT,strong-knows,3,strong-knows,3,True
bb_2276,The Saltire is which country's flag?,Scotland,GPE,strong-knows,3,strong-knows,3,True
bb_2560,"Who painted The Card Players, at Feb 2012 the most expensive artwork in the world?",Paul Cézanne,PERSON,strong-knows,3,strong-knows,3,True
bb_2772,Name the new French president of 2012?,François Hollande,PERSON,strong-knows,3,strong-knows,3,True
bb_285,"Said to refer erroneously to the temperature at which book paper catches fire, the title of Ray Bradbury's 1953 novel about a futuristic society in which reading books is illegal, is called 'Fahrenheit...' what? 972; 451; 100; or 25?",451,CARDINAL,strong-knows,3,strong-knows,3,True
bb_3033,A harquebus/arquebus is an early form of?,Gun,PRODUCT,strong-knows,3,strong-knows,3,True
bb_3474,"Aleph, Beth, Gimel, Daleth are A B C D in which language?",Hebrew,LANGUAGE,strong-knows,3,strong-knows,3,True
bb_3546,(When discovered Jan 2013) the largest known structure in the universe - a large quasar group named 'Huge-LQG' - would take how many years to cross if travelling at the speed of light?,4 billion,CARDINAL,strong-knows,3,strong-knows,3,True
bb_3870,What Belgian city boasts the famous urinating boy fountain called 'Manneken Pis'?,Brussels,GPE,strong-knows,3,strong-knows,3,True
bb_4861,Which famous city has the official website domain www.mcgm.gov.in?,Mumbai,GPE,strong-knows,3,strong-knows,3,True
bb_5083,"What instrument is sized according to terms such as 0, 00, 000, Grand Auditorium and Dreadnought?",Guitar,PRODUCT,strong-knows,3,strong-knows,3,True
bb_5340,"What's the food 'head cheese' alternatively called, which separately refers to a man's physical strength?",Brawn,PRODUCT,strong-knows,3,strong-knows,3,True
bb_5563,'Ol' Blue Eyes' is the nickname of?,Frank Sinatra,PERSON,strong-knows,3,strong-knows,3,True
bb_5633,Which famous employee-owned UK retailer's slogan is 'Never Knowingly Undersold'?,John Lewis,ORG,strong-knows,3,strong-knows,3,True
bb_5700,"Introduced in 1894 and one of the world's oldest trademarks, Bibendum is better known as what?",The Michelin Man,WORK_OF_ART,strong-knows,3,strong-knows,3,True
bb_6235,Genever is the old word for what alcoholic drink?,Gin,PRODUCT,strong-knows,3,strong-knows,3,True
bb_6248,Which controversial mogul/celebrity/politician demanded a ban on all Muslims entering the USA in 2015?,Donald Trump,PERSON,strong-knows,3,strong-knows,3,True
bb_6646,"Who was assassinated by Hugh de Merville, William de Tracy, Reginald Fitzhurse and Richard le Breton?",Thomas Becket,PERSON,strong-knows,3,strong-knows,3,True
bb_6707,"Which country occupying 47% of South America has states including Amazonas, Sao Paulo, Bahia and Para?",Brazil,GPE,strong-knows,3,strong-knows,3,True
bb_6852,Spiro Agnew was US vice-president to which president?,Richard Nixon,PERSON,strong-knows,3,strong-knows,3,True
bb_7096,Eamon de Valera founded which Irish political party in 1926?,Fianna Fail,ORG,strong-knows,3,strong-knows,3,True
bb_7107,From which European country does Limburger cheese originate?,Belgium,GPE,strong-knows,3,strong-knows,3,True
bb_7282,What is the name of cartoon character Dora the Explorer's monkey?,Boots,PERSON,strong-knows,3,strong-knows,3,True
bb_7298,"Who developed the ten stages of corporate life cycle, starting with Courtship and Infancy and ending in Bureaucracy and Death?",Dr Ichak Adizes,PERSON,guess,1,guess,1,True
bb_7930,In which war was the Battle of Bunker Hill fought?,AMERICAN WAR OF INDEPENDENCE,EVENT,strong-knows,3,strong-knows,3,True
bb_8072,Which US lead singer's real name is William Baily?,Axl Rose,PERSON,strong-knows,3,strong-knows,3,True
bb_810,The town of Budge Budge is in which country?,India,GPE,strong-knows,3,strong-knows,3,True
bb_8112,In which English county is the Dickens World Theme Park?,Kent,GPE,strong-knows,3,strong-knows,3,True
bb_8203,What royal house has ruled Monaco since the Middle Ages?,Grimaldi,PERSON,strong-knows,3,strong-knows,3,True
bb_8540,"Who aged 65 became the oldest Britain to climb Mount Everest, as at 2009?",Sir Ranulph Fiennes,PERSON,doesn't-know,0,doesn't-know,0,True
bb_8676,Which company began a hostile takeover bid for Cadbury in September 2009?,Kraft,ORG,strong-knows,3,strong-knows,3,True
bb_8732,Vladimir Voronin resigned as the president of which country?,Moldova,GPE,strong-knows,3,strong-knows,3,True
bb_8875,The country Myanmar is still known in many parts of the world by what prior name?,Burma,GPE,strong-knows,3,strong-knows,3,True
bb_8979,"""What poem contains the words, """"...Water, water, everywhere, Nor any drop to drink..."""" ?""",The Rime of the Ancient Mariner,WORK_OF_ART,strong-knows,3,strong-knows,3,True
bb_907,Which Christmas condiment is made from fruit sometimes referred to as marshworts?,Cranberry sauce,PRODUCT,doesn't-know,0,strong-knows,3,False
bb_914,"Who composed the music known as The Nutcracker Suite, for the Christmas themed ballet The Nutcracker, premiered in St Petersburg, 1892?",Tchaikovsky,PERSON,strong-knows,3,strong-knows,3,True
bb_9307,What railway line is green on the traditional map of the London Underground (Tube)?,District Line,FAC,strong-knows,3,strong-knows,3,True
bb_9448,How many noble gases are there?,Six,CARDINAL,strong-knows,3,strong-knows,3,True
bt_0,From which film did The Harry Lime Theme come,The Third Man,WORK_OF_ART,strong-knows,3,strong-knows,3,True
bt_1024,Who were the first team to concede 100 goals in a season in the Premiership,Swindon Town,ORG,strong-knows,3,strong-knows,3,True
